filenames,TSS_brix,Firmness,Titerabile acid percentage,Volume
9a.jpg,0.2353,0.7429,0.375,0.3793
9b.jpg,0.2353,0.7429,0.375,0.3793
9c.jpg,0.2353,0.7429,0.375,0.3793
9d.jpg,0.2353,0.7429,0.375,0.3793
9e.jpg,0.2353,0.7429,0.375,0.3793
9f.jpg,0.2353,0.7429,0.375,0.3793
9g.jpg,0.2353,0.7429,0.375,0.3793
9h.jpg,0.2353,0.7429,0.375,0.3793
9i.jpg,0.2353,0.7429,0.375,0.3793
8a.jpg,0.2353,0.5143,0.3438,0.2414
8b.jpg,0.2353,0.5143,0.3438,0.2414
8c.jpg,0.2353,0.5143,0.3438,0.2414
8d.jpg,0.2353,0.5143,0.3438,0.2414
8e.jpg,0.2353,0.5143,0.3438,0.2414
8f.jpg,0.2353,0.5143,0.3438,0.2414
8g.jpg,0.2353,0.5143,0.3438,0.2414
8h.jpg,0.2353,0.5143,0.3438,0.2414
8i.jpg,0.2353,0.5143,0.3438,0.2414
8j.jpg,0.2353,0.5143,0.3438,0.2414
7a.jpg,0.5882,0.6714,0.4375,0.5862
7b.jpg,0.5882,0.6714,0.4375,0.5862
7c.jpg,0.5882,0.6714,0.4375,0.5862
7d.jpg,0.5882,0.6714,0.4375,0.5862
7e.jpg,0.5882,0.6714,0.4375,0.5862
7f.jpg,0.5882,0.6714,0.4375,0.5862
7g.jpg,0.5882,0.6714,0.4375,0.5862
7h.jpg,0.5882,0.6714,0.4375,0.5862
7i.jpg,0.5882,0.6714,0.4375,0.5862
68a.jpg,0.3529,0.8857,0.4688,0.069
68b.jpg,0.3529,0.8857,0.4688,0.069
68c.jpg,0.3529,0.8857,0.4688,0.069
68d.jpg,0.3529,0.8857,0.4688,0.069
68e.jpg,0.3529,0.8857,0.4688,0.069
68f.jpg,0.3529,0.8857,0.4688,0.069
68g.jpg,0.3529,0.8857,0.4688,0.069
68h.jpg,0.3529,0.8857,0.4688,0.069
68j.jpg,0.3529,0.8857,0.4688,0.069
68k.jpg,0.3529,0.8857,0.4688,0.069
68l.jpg,0.3529,0.8857,0.4688,0.069
55a.jpg,0.5882,0.3857,0.5312,0.4138
55b.jpg,0.5882,0.3857,0.5312,0.4138
55c.jpg,0.5882,0.3857,0.5312,0.4138
55d.jpg,0.5882,0.3857,0.5312,0.4138
55f.jpg,0.5882,0.3857,0.5312,0.4138
55g.jpg,0.5882,0.3857,0.5312,0.4138
55h.jpg,0.5882,0.3857,0.5312,0.4138
55j.jpg,0.5882,0.3857,0.5312,0.4138
55k.jpg,0.5882,0.3857,0.5312,0.4138
