Epoch,Train Loss,Train MSE,Train MAE,Train R2,Total Params,Trainable Params,Non-trainable Params,Val Loss,Val MSE,Val MAE,Val R2
1,659.536127299906,659.5357,4.7150865,-23634.98828125,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
2,6.800904455586014,6.800906,1.7308574,-236.51763916015625,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
3,19.07933021260199,19.079327,2.4636147,-766.2991943359375,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
4,16.331665774372137,16.331667,1.96577,-787.1390991210938,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
5,15.028515725492317,15.028509,2.052121,-723.7771606445312,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
6,11.33422274678667,11.334224,1.8107661,-451.2103271484375,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
7,15.837833772195834,15.837843,2.002934,-567.900390625,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
8,9.975219939913705,9.975221,1.4895217,-347.20819091796875,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
9,2.839066275926394,2.8390663,1.0146492,-113.86042785644531,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
10,2.2901063976443816,2.290106,1.0034752,-104.02022552490234,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
11,3.49245712634559,3.4924564,1.2666664,-164.97091674804688,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
12,2.7292721226950674,2.729273,1.0260398,-128.56051635742188,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
13,3.5411653198371424,3.5411644,1.0542808,-166.9777069091797,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
14,5.413908354589872,5.4139056,1.2706425,-257.1951904296875,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
15,4.855568330978679,4.85557,1.0371529,-224.02899169921875,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
16,2.480137678228806,2.4801393,0.80527735,-111.05720520019531,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
17,2.840511747609789,2.8405125,1.0802639,-123.63719177246094,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
18,2.8991910057647208,2.8991885,1.0400442,-122.10931396484375,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
19,3.38319424825294,3.383193,1.1030014,-140.62954711914062,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
20,3.2897700327579105,3.2897677,1.0326338,-127.20243835449219,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
21,2.142885405883611,2.1428857,0.6941083,-74.45890808105469,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
22,2.414756075801136,2.4147565,0.8023109,-82.83353424072266,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
23,2.223983714792216,2.2239847,0.79725957,-77.53173828125,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
24,1.7285437792818124,1.728544,0.75573355,-62.62714767456055,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
25,1.078484254044907,1.0784844,0.5717522,-38.23365783691406,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
26,0.871424234150169,0.87142444,0.5291635,-30.221479415893555,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
27,0.8696718057182348,0.8696716,0.54377234,-30.400936126708984,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
28,0.8906429565955545,0.8906429,0.55008376,-29.309158325195312,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
29,0.7558553572570053,0.755855,0.4736409,-22.51359748840332,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
30,0.4699505631611726,0.46995065,0.35256293,-13.618180274963379,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
31,0.43009996706637266,0.43009973,0.35752678,-14.500839233398438,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
32,0.5817372161790589,0.58173716,0.40217853,-25.16667938232422,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
33,0.8175785062469054,0.8175788,0.4062661,-40.637271881103516,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
34,1.4943069548250358,1.4943058,0.54869294,-77.69060516357422,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
35,1.164131838723878,1.164131,0.4288046,-60.82674026489258,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
36,0.449494248656469,0.44949445,0.35082656,-19.63335609436035,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
37,0.13984736737525352,0.1398474,0.2394657,-4.133280277252197,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
38,0.1761525323457807,0.17615257,0.2942019,-5.1500563621521,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
39,0.19795173991506346,0.19795178,0.29226488,-5.993741989135742,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
40,0.43394489537611186,0.43394512,0.382568,-15.093024253845215,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
41,0.6751303965243224,0.6751304,0.40186334,-23.395069122314453,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
42,1.3035059624186187,1.3035055,0.6137411,-41.76472091674805,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
43,0.9103700544371783,0.9103704,0.46270692,-26.81095314025879,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
44,0.4575043919487534,0.45750427,0.31769258,-13.728055953979492,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
45,0.2050128460069683,0.20501284,0.24940762,-6.249218463897705,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
46,0.0757525565328999,0.075752564,0.1896905,-1.817913293838501,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
47,0.05383710756410505,0.053837117,0.16267529,-0.9698854088783264,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
48,0.0446798951826363,0.044679888,0.14218622,-0.6714473366737366,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
49,0.03752779245167692,0.037527807,0.13254064,-0.37978506088256836,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
50,0.030938350569422,0.030938348,0.117120534,-0.14954088628292084,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
51,0.03288211961163678,0.03288213,0.11193239,-0.21751035749912262,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
52,0.0515416697729553,0.05154166,0.14026098,-0.9181528091430664,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
53,0.046753593180850844,0.046753574,0.13122332,-0.6998543739318848,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
54,0.03968437089123458,0.039684385,0.11894428,-0.43618714809417725,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
55,0.03428943100098138,0.03428944,0.11252892,-0.30054771900177,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
56,0.044080199490988924,0.044080205,0.1345323,-0.7031458616256714,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
57,0.034169011740623235,0.034169007,0.10950908,-0.5405633449554443,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
58,0.07533565377729519,0.07533568,0.16645527,-2.7855358123779297,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
59,0.12834838657666034,0.12834844,0.18221588,-5.615732192993164,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
60,0.14325443509896504,0.14325461,0.17737228,-6.172123908996582,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
61,0.09263942594352727,0.09263944,0.14772649,-3.2374072074890137,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
62,0.03811639428974312,0.03811638,0.11478943,-0.3720104396343231,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
63,0.054254335890933175,0.054254346,0.15374915,-0.9038398265838623,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
64,0.0644129945539704,0.06441295,0.15590277,-1.2275195121765137,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
65,0.09923930366950057,0.09923932,0.20584425,-2.399505615234375,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
66,0.0608909019991477,0.0608909,0.15325357,-0.9930329322814941,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
67,0.030161762018209307,0.030161759,0.1061359,0.06405146420001984,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
68,0.01656885699926066,0.01656886,0.083858415,0.4497000575065613,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
69,0.0099295243364106,0.009929524,0.06472239,0.662887454032898,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
70,0.009719625611519702,0.009719629,0.06557027,0.629647970199585,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
71,0.009142224652971202,0.009142224,0.06106379,0.654252290725708,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
72,0.008046577168872283,0.008046577,0.056262225,0.6888059377670288,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
73,0.007013746143414456,0.0070137535,0.05437907,0.7467445731163025,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
74,0.006602803926270838,0.0066028032,0.05364971,0.7879674434661865,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
75,0.00618462560363288,0.0061846236,0.053287324,0.8050685524940491,79228100,59203716,20024384,0.03828763665960116,0.036736526,0.14308998,-0.16596649587154388
