Epoch,Train Loss,Train MSE,Train MAE,Train R2,Total Params,Trainable Params,Non-trainable Params,Val Loss,Val MSE,Val MAE,Val R2
1,49.16212471146311,49.162018,0.93492347,-1844.7869873046875,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
2,0.04263985975184173,0.042639874,0.16072,-0.5049536228179932,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
3,0.04066281958927061,0.040662814,0.15617846,-0.4436149001121521,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
4,0.03733690556521728,0.0373369,0.14892964,-0.3157336711883545,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
5,0.040393729807338984,0.04039375,0.15319617,-0.44283169507980347,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
6,0.03852234347331747,0.038522333,0.14775982,-0.34637391567230225,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
7,0.03695659532655622,0.036956556,0.14708799,-0.29915910959243774,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
8,0.057091213031628424,0.05709123,0.15545112,-1.0182199478149414,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
9,0.04810084346855912,0.04810085,0.15577362,-0.607880711555481,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
10,0.04277432447073059,0.042774327,0.14206736,-0.5520186424255371,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
11,0.08118676829421631,0.08118673,0.16183122,-2.200516939163208,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
12,0.04634977678690001,0.046349786,0.1507986,-0.5972619652748108,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
13,0.12066678152741672,0.12066674,0.15670022,-2.9579131603240967,134809796,114785412,20024384,0.03204138242803952,0.030467227,0.13662347,-0.006409630179405212
