Epoch,Train Loss,Train MSE,Train MAE,Train R2,Total Params,Trainable Params,Non-trainable Params,Val Loss,Val MSE,Val MAE,Val R2
1,4.077954254226289,4.077952,0.40224025,-146.75958251953125,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
2,0.040398999648255725,0.04039901,0.15524384,-0.4112241268157959,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
3,0.037695069945304194,0.037695058,0.15043555,-0.3165700137615204,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
4,0.03602281505259398,0.03602281,0.1468965,-0.24384868144989014,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
5,0.03377040964768869,0.03377041,0.14094311,-0.15569423139095306,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
6,0.030835871297483133,0.030835874,0.13475338,-0.05195587873458862,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
7,0.031568645665021704,0.031568658,0.1369091,-0.08951994776725769,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
8,0.029513100327523512,0.0295131,0.13166857,-0.025495663285255432,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
9,0.028567531990392185,0.02856753,0.12996936,0.013299047946929932,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
10,0.02813044132960734,0.028130434,0.12957822,0.020773187279701233,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
11,0.02810710440520371,0.028107092,0.12837094,0.028662577271461487,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
12,0.03340086217308156,0.033400867,0.13209394,-0.23588339984416962,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
13,0.027697497003964174,0.027697496,0.12813073,0.03435765206813812,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
14,0.02701465073520335,0.027014656,0.1254456,0.06470184028148651,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
15,0.027474861261304294,0.027474847,0.1270739,0.03931081295013428,79521988,59497604,20024384,0.03018371232182664,0.02827137,0.12888062,0.0869634747505188
